antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'SVG', 'CKING'})",frozenset({'ATM'}),0.5417344512576648,0.3845576273307471,0.24852959579526968,0.4587664587664588,1.1929719401245598,0.04020148057629783,1.1371105553927425
"frozenset({'SVG', 'ATM'})",frozenset({'CKING'}),0.25691402828181703,0.8578400700788387,0.24852959579526968,0.9673648319532392,1.1276750360522734,0.028138447769759017,4.3560348675842455
"frozenset({'CKING', 'ATM'})",frozenset({'SVG'}),0.36190714553873105,0.6186960330371668,0.24852959579526968,0.6867219917012448,1.1099505331077362,0.024619080522652187,1.217142464080037
frozenset({'SVG'}),"frozenset({'CKING', 'ATM'})",0.6186960330371668,0.36190714553873105,0.24852959579526968,0.4016990291262136,1.1099505331077362,0.024619080522652187,1.0665081380853663
frozenset({'CKING'}),"frozenset({'SVG', 'ATM'})",0.8578400700788387,0.25691402828181703,0.24852959579526968,0.2897155361050328,1.1276750360522734,0.028138447769759017,1.0461808042982428
frozenset({'ATM'}),"frozenset({'SVG', 'CKING'})",0.3845576273307471,0.5417344512576648,0.24852959579526968,0.6462739993491702,1.1929719401245598,0.04020148057629783,1.29553820725409
"frozenset({'SVG', 'HMEQLC'})",frozenset({'ATM'}),0.11150043799274184,0.3845576273307471,0.06094356150669503,0.5465768799102132,1.4213133248820415,0.018065217625867137,1.3573246387334263
"frozenset({'SVG', 'ATM'})",frozenset({'HMEQLC'}),0.25691402828181703,0.164685270929796,0.06094356150669503,0.23721383341451535,1.4404070994037934,0.018633605153438718,1.0950837412395458
"frozenset({'HMEQLC', 'ATM'})",frozenset({'SVG'}),0.0853460142660493,0.6186960330371668,0.06094356150669503,0.7140762463343109,1.1541632856912376,0.008140321044756885,1.3335861818905244
frozenset({'SVG'}),"frozenset({'HMEQLC', 'ATM'})",0.6186960330371668,0.0853460142660493,0.06094356150669503,0.0985032362459547,1.1541632856912374,0.008140321044756885,1.0145948632417887
frozenset({'HMEQLC'}),"frozenset({'SVG', 'ATM'})",0.164685270929796,0.25691402828181703,0.06094356150669503,0.37006079027355626,1.4404070994037936,0.018633605153438718,1.1796153664428575
frozenset({'ATM'}),"frozenset({'SVG', 'HMEQLC'})",0.3845576273307471,0.11150043799274184,0.06094356150669503,0.1584770582492678,1.4213133248820415,0.018065217625867137,1.055823338765779
"frozenset({'SVG', 'CKING'})",frozenset({'AUTO'}),0.5417344512576648,0.09285446126892755,0.05969215367288199,0.1101871101871102,1.1866646866646866,0.009389693050533436,1.019478981611322
"frozenset({'SVG', 'AUTO'})",frozenset({'CKING'}),0.06144412464022025,0.8578400700788387,0.05969215367288199,0.9714867617107943,1.1324800456354425,0.006982921485582556,4.9857518279493
"frozenset({'CKING', 'AUTO'})",frozenset({'SVG'}),0.085220873482668,0.6186960330371668,0.05969215367288199,0.7004405286343612,1.13212383986998,0.006966337317193011,1.272882360302399
frozenset({'SVG'}),"frozenset({'CKING', 'AUTO'})",0.6186960330371668,0.085220873482668,0.05969215367288199,0.09648058252427184,1.1321238398699798,0.006966337317193011,1.012462055406691
frozenset({'CKING'}),"frozenset({'SVG', 'AUTO'})",0.8578400700788387,0.06144412464022025,0.05969215367288199,0.06958424507658643,1.1324800456354425,0.006982921485582556,1.0087489064896975
frozenset({'AUTO'}),"frozenset({'SVG', 'CKING'})",0.09285446126892755,0.5417344512576648,0.05969215367288199,0.6428571428571428,1.1866646866646866,0.009389693050533436,1.2831435364785382
